Rev_Title,Rev_Rate,Rev_Bdy,Rev_Hlp,Rev_Home,Prod_ID
Génial !,5.0,jai commandé ce produit pour pouvoir écouter musiques et son des vidéos sur le web à travers mes prothèses auditives siemensje navais pas dinterface bluetooth dans mon ordi il fallait donc envisager le dongleparce quavec des prothèses je navais pas envie de rajouter un casque en plus par dessuset ça fonctionne super bien avec un très beau son stéréo très clair je suis connecté via un appareil bluetooth easy tech qui retransmet directement le son dans mes appareils auditifs cest un vrai confort découte et cela permet de pouvoir entendre aussi ce qui se passe autour on nest pas coupé de notre environnement si quelquun nous parlevoila je voulais vous apporter ce témoignage car je ne dois pas être la seule à rechercher ce fonctionnement,60,France,1
En panne après moins de 2 mois d'utilisation,1.0,pour un adaptateur de ce prix jaurais espéré une durée de vie plus longue dautant que la panne est insidieuseau départ la connexion semble interrompue avec lappareil appairé  on débranche et on rebranche ladaptateurcela fonctionne plusieurs semaines sur ce modepuis la connexion ne se fait plus du tout mais windows ne détecte rien de particulier sur le périphé heures de recherche avec réinitialisation de mon enceinte sans fil bose sans succèsjai même pensé que cétait lenceinte qui était en panne grâce aux tests de connexion dautres appareils en bluetooth jai compris que le coupable était cet adaptateurnul passez votre chemin,22,France,1
Compatible pour Dualshock PS4,5.0,acheté pour branchée la manette  sur le pc je confirme ici que cela fonctionne aucun problème de pilote le dongle est reconnu tout de suite par windows  la manette fonctionne tout de suite avec le logiciel  bref produit conforme a acheter les yeux fermés ,38,France,1
Dongle Bluetooh parfait,5.0,jutilise ce dongle bluetooth sur un pc windows  se fait sans le cd le matériel est automatiquement reconnu par windowsaucun problèmes le produit fonctionne parfaitement jai pu associé plusieurs types dappareils   une montre connectée garmin vivoactive hr  un téléphone portable honor   les joycons de la switch  le pro controller de la switchje recommandemention spéciale a la communication du fabricant au top,25,France,1
Impeccable,5.0,quand je vois certains commentaires de certaines personnes qui disent que ça ne va pas très loin je peux vous dire que le mien est dans ma cuisine sur mon ordinateur portable je vais dans le fond du jardin avec le casque audio sur la tête avec la musique et je suis a plus de  mètres et ça fonctionne vraiment bienwindows  la reconnu directement et jai un autre portable avec windows  qui la reconnu directement aussiil a trouvé directement mon casque audio ainsi que les divers appareils bluetooth que je possède sans aucun problèmepas de décalage entre le son et limage non plus ça fonctionne vraiment bienmerci au vendeur au créateur et au distributeurbien à vous,16,France,1
Bonne clé USB Bluetooth,5.0,posé sur un ordinateur portable hp   de  ans passé en win  pro cette clé usb bluetooth fut reconnue instantanément par windows à ma grande surprise je lutilise avec un casque philips shb  la portée est plutôt bonne même sur la terrasse à un quinzaine de mètres du portable murs en brique plaquage en placo et  cm de polyestere cloisons en carreaux de plâtre de   cm pour le prix je recommande dautant que le constructeur répond rapidement à toutes inquiétudes et envoie régulièrement des mail pour connaîtrte le niveau de satisfaction,14,France,1
Fait son boulot,2.0,clé bluethooth servant à connecté un casque audio pour jouer sur pc la clé fait son travail mais jai eu du mal à configurer avec le logiciel fournis qui  est bluesoleil de plus le logiciel fournis est en  alors que nous sommes maintenant sur la  mais quil faut payer pour utiliser  je ne suis pas content du produit par rapport au logiciel vu que je suis informaticien et que jaime avoir mes logiciels à jour il serait appréciable que lon puisse bénéficier dun logiciel gratuit et a jour ,17,France,1
Enfin ! .......,5.0,enfin une bonne clé  jutilise rarement le bluetooth mais lorsque jen ai besoin jaime que ça marche et là cest le top pour moicest la seul qui est reconnue par mes  ou  pc tabletteset même ma box tv qui est à environ  de mon lit capte bien mon clavier repliable jelly comb avec un pad dessus en vente sur amazon posé sur ma table de nuitje vais certainement en recommandé unejai déjà acheté  ou  clés dautres marques  et  cher  mais qui ne capte ou reçois pas tous les equipements,9,France,1
Super adaptateur USB-Bluetooth,5.0,jai acheté cet adaptateur bluetooth pour connecter mon smartphone sony xperia xz à mon pc qui navait pas la fonction bluetoothladaptateur a été reconnu directement par windows  sans besoin dinstallation de logiciel supplémentairela détection et lappairage bluetooth entre le téléphone et le pc a été réalisé du premier coupfonctionne très bien pour synchronisation des contacts et pour transfert de fichiersjen ai également profité pour connecter mon pc en bluetooth avec mon kit denceintes hifi denon ceol carino et la connexion est parfaite même lorsque je transfère des fichiers sur le smartphone en même tempsadieu les câbles je suis très satisfait de mon achat,15,France,1
Parfait.,5.0,ce dongle remplis bien les taches attendujai pris celui à  celui qui est compatible avec windows  windows  et lorsque jai branché le dongle tous cest installé automatiquementwindows  a automatiquement reconnue ce petit bijou et il ma ajouté une icone bluetooth dans la barre de tache super pour gérer les connexion entre les différents périphériques rapidementjai connecté un système audio sony et un casque akg le son et propre pas de coupure hachuré  distance  réussie a connecter  appareil en simultané un système audio et une manette de switch les  fonctionnait le test fut bref car lutilisation de la manette métait assez limité pas a cause du dongleen bref je recommande ce produit,8,France,1
ne fonctionne pas. erreur de pilote malgré être sous windows 10,1.0,voilà le descriptif pilote plug  play ou bluesoleil gratuit  sous windows  branchez la clé sur nimporte quel port usb et windows installera automatiquement les pilotes nécessaires pour  vista ou xpdonc jaimerais comprendre si cela est compatible avec win  apparemment non on fait quoi maintenant la boite est déchiré ,10,France,1
Faux commentaires ?,1.0,comme dhabitude sur amazon les produits aux marques inconnues sont blindés de commentaires élogieux que je soupçonne tronqués ce produit fonctionne plutôt bien à proximité de lappareil  moins de  mètres notez le plutôt bien car dès que votre ordinateur va charger comme dans un jeu la connexion va être instable ca dure pas longtemps mais cest pénibleau delà de  mètres cest la foire ca ne tient pas le sans fil perd donc tout son sol  étoile produit renvoyé,14,France,1
"Selon votre configue ou PC, rien ne marche",1.0,reconnu par windows  mais pilote indisponible non installable jai tout essayé pas de solution en ligne pas de tuto rien minable jai appelé le sav qui se vente davoir une ligne ouverte pour leurope rien répondeur pas de retour client pour un produit comme celui là jimagine que cest plus cher de payer une personne au sav que de laisser les client dans la mouise produit à ca avec marge sur dos client,6,France,1
Superbe mais,4.0,plug and play nickel  il associe plusieurs appareils en même temps ce qui fait son énorme point fort et la porté est suffisante  il est petit et a un témoin lumineux pour savoir quand il est activé mais qui nest pas très brillant donc je gêne pasmais malheureusement jai eu un problème car jai réinitialisé mon pc et désormais mon pc avec le dongle ne se connecte plus aux appareils mais cela doit être de ma faute car sur dautres appareils il est toujours en plug  playje recommande donc ce produit particulièrement pour sa capacité a connecter jusquà  appareils en simultané ,3,France,1
parfait pour manette xbox one s,4.0,je ne pouvais pas connecter ma manette a mon pc avec une clé bluetooth  mon pc me demandait un code pin et pas moyen de le trouver  donc jais pris cette clé pour tester et maintenant ça marche niquel elle fonctionne également avec ma jbl  flip  manette  jbl en même temps fonctionnent si le commentaire vous a été utile dite le moi ,5,France,1
"produit conforme, livré dans les délais bien emballé",4.0,javais pesté au début car le logiciel était livré avec bluesoleil logiciel limité qui nécessite une licence jai cependant  pu linstaller et le faire fonctionner et gratuitement sous linux ubuntu la clé fait actuellement partie de mon kit de survie informatique boot sur clé usb de nimporte quel pc lien entre une clé wifi préréglée vers la connexion de mon téléphone pour avoir internet et lien bluetooth vers mes enceintes ou mon casque à noter ont peut également transmettre des fichiers avec le bluetooth,9,France,1
"Installation instantanéz, connexion stable et fiable sur W10 et W7",5.0,je cherchais une clé usb bluetooth afin de connecter mon nouveau casque audio sony  ainsi que mes enceintes edifier  sur mes pc dépourvus de ce type de connectivitéjai pu testé la clé sur mes  pc  windows  home  bits pc fixe sur mesure windows  pro  bits pc fixe sur mesure windows  familial  bits asus  windows  starter  bits asus eeepc ́tection de la clé ultrarapide sur windows  détection du casque tout aussi rapidesur windows  détection un peu plus lente mais tout aussi efficacejai pu testé mon casque dans lautre pièce à plus de  sans problèmepas de déconnexion jusquà présent ni de grésillement du son ou autrele seul soucis constaté est sur le logiciel multimedia kodi mais jignore si cela vient du logiciel de la clé ou du casque car tout fonctionne très bien pour le reste sons du bureau vlc firefox opera je ne pense donc pas que ce soit la clébref pour le moment la clé respecte ses promesses pour un prix correctje ferai une mise à jour du commentaire si des problèmes de fiabilité apparaissent avec le temps sinon considérez que tout est ok je recommande,0,France,1
"Impeccable sur Windows, beaucoup moins sur Xubuntu (linux)",4.0,premiers essais dès réception • relativement facile à mettre en service sur windows   comme souhaité jécoute de la musique au casque bluetooth sans difficultés appairage réalisé assez aisément mais sur xubuntu linux le fonctionnement essayé pour voir nest pas concluant  la clé est reconnue je vois le casque quand je demande lappairage mais la connexion échoue finalement et le casque reste muet • la compatibilité avec linux non prévue dans le descriptif du produit semble donc aléatoire puisque jai vu des commentaires disant que la communication avait pu être établie sans problème • autre remarque  la distance entre le casque et la clé doit rester modeste dès  en intérieur le son est haché  le fait est dailleurs signalé dans le descriptif du produit,2,France,1
Très décevant.,1.0,dongle commandé pour être adapté à un pc sans bluetooth sous windows    a la réception plaisir de voir un mode demploi en français malheureusement rien ne se passe comme indiqué dongle et logiciel bluesoleil  quil faut télécharger non connus sur le site avantree la vidéo sur le site est vierge  logiciel non spécifique disponible sur de nombreuses plateformes echecs répétés de plusieurs tentatives de téléchargement et quelques virus à la clef plusieurs alertes finalement jobtiens satisfaction avec en prime un ros ralentissement du pc extraction complète du dossier  licone bluetooth est bien visible sur le bureau  clic droit comme indiqué rien ne se passe et lappli refuse de souvrir au bout dune heure jarrête de perdre mon temps il faut éviter davoir à télécharger des logiciels douteux et qui sinfiltrent partout heureusement revo uninstall permet un nettoyage en profondeur conclusion renvoi de ce dongle,0,France,1
Rapport qualité prix imbattable,5.0,on mavait livré une première clef qui au bout de six mois ne fonctionnait pas jai contacté le sav qui men ont renovyé une au bout de  jours sans poser de questions cordial et réactif un sav exemplairerien à dire de particulier sur la clef qui fonctionne directement sans installation jai pu écouter ma musique via mes airpods sans problème,3,France,1
Adaptateur Bluetooth pour PC sous Windows 10 (après MAJ de Windows 7),5.0,objectif atteint connection de mon casque bluetooth sur mon pc démuni de dispositif bluetoothaprès une installation un peu difficile mais finalement bête et simple cet adaptateur fonctionne parfaitement bien utilisation très facile mon casque sennheiser hd  bt sans fil fermé bluetooth noir acheté en même temps fonctionne très bienjai également connecté mon téléphone mobile et mon ordinateur portable à mon pc fixe en un rien de temps le transfert des fichiers documents photos  se fait sans aucune difficultépetit outil de grande utilité je le recommande vivement,3,France,1
100% Plug & Play,5.0,janvier  dès réception du avantree  je lai branché sur un port  en face avant de mon pc windows  à jour il a été immédiatement reconnu et automatiquement configuré le bluetooth étant disponible jai activé la commande ajouter un appareil bluetooth de windows mon haut parleur bluetooth a été reconnu en moins dune minute et a fonctionné sans autre intervention idem avec les écouteurs bluetoothnb cet adaptateur bluetooth remplace un adaptateur bluetooth kinivo qui nétait plus reconnu par windows panne ou driver trop vieux vu le prix jai préféré changer dadaptateur,2,France,1
Un d’ongle bluetooth parfait,5.0,le dongle usb de avantree et vraiment bien de mon point de vue personnel et de mon utilisation je lai commandé uniquement dans le but de connecter une manette  sur un ordinateur couplé a une barre de son en bluetooth et je suis agréablement surpris de la facilité dinstallation et dutilisation de cet appareil il se connecte automatiquement à lordinateur et peut prendre en charge plusieurs appareils en même temps sans aucun problème aucun bugs ou déconnections pour ma part fonctionne sur mon windows  il est vraiment petit et peut donc sinstaller sur nimporte quel prise usb il y a seulement un petit voyant qui clignote pendant lutilisation mais même dans le noir le clignotement ne gène pas du tout voilà pour mon retour personnel je recommande vraiment pour ma part je ne trouve pas pour linstant aucun point négatif,0,France,1
Fonctionne avec les controlleurs des casques virtuel microsoft mixed reality,5.0,jai acheter se usb bluetooth  pour faire fonctionner les contrôleur du casque virtuel lenovo explorer  et sa fonctionne parfaitement  je pense quil fonctionne pour tous les controleurs microsoft mixed reality au début je ne savais pas comment faire pour activer mes contrôleur mais jai contacter le services client qui ma expliquer comment faire par mail et jai réussie   ils sont a l’écoute et suivent leurs produits cest très agréable  je suis très satisfaitsi le commentaire vous a été utile pour faire votre choix cliquer sur oui pour me motivé a faire des feedback sur mes prochains achatsmerci,1,France,1
